HP:0004015	橈骨骨幹端の異常
HP:0005300	結節性炎症性血管炎
HP:0005301	持続性左上大静脈
HP:0006631	肩甲骨遠位部分低形成
HP:0007962	斑紋状角膜ジストロフィー
HP:0005313	動脈瘤線維筋異形成
HP:0006645	細い鎖骨
HP:0007976	空色白内障
HP:0006644	胸郭異形成
HP:0007975	測定過少性水平性サッケード (断続性運動)
HP:0005314	内頚動脈分枝奇形
HP:0005315	閉塞性動脈疾患
HP:0006647	先天性小胸郭
HP:0006646	肋軟骨石灰化
HP:0005316	末梢肺血管無形成
HP:0006649	肋軟骨痛
HP:0005317	肺血管抵抗の増加
HP:0007979	注視誘発性水平性眼振
HP:0005318	大脳血管炎
HP:0007970	先天性眼瞼下垂
HP:0006641	目立つ浮遊肋骨
HP:0007971	層状白内障
HP:0006640	多発性肋骨骨折
HP:0005310	大血管血管炎
HP:0006643	胸骨骨化中心癒合
HP:0005311	肺血管無発生
HP:0006642	大きな胸骨骨化中心
HP:0005312	肺動脈内膜線維症
HP:0007973	網膜異形成
HP:0007943	先天性あぶみ骨強直
HP:0007942	内眼筋麻痺
HP:0006611	胸骨骨化中心数の減少
HP:0007945	脈絡膜変性
HP:0007944	間歇的小サッケード性追視
HP:0007947	傍中心色素性網膜炎
HP:0006615	子宮内肋骨骨化欠損
HP:0007946	片側性狭い眼瞼裂
HP:0007949	進行性黄斑瘢痕
HP:0007948	濃い後皮質白内障
HP:0006619	前部肋骨点状石灰化
HP:0006610	幅広い乳頭間距離
HP:0007941	外眼球運動制限
HP:0006623	肋軟骨関節硬化
HP:0007956	両側性脈絡膜コロボーマ
HP:0006625	多巣性乳房癌
HP:0007958	脳神経圧迫による視神経萎縮
HP:0007957	角膜混濁
HP:0006628	胸骨骨化欠損
HP:0007950	乳頭周囲脈絡膜網膜 萎縮
HP:0007920	先天性脈絡膜網膜ジストロフィー
HP:0007923	中心窩過形成
HP:0007922	髄鞘化過剰な網膜線維
HP:0007925	涙管無形成
HP:0007924	視力の緩徐な減少
HP:0007929	末梢網膜剥離
HP:0007928	フラッシュ視覚誘発電位の異常
HP:0011188	二次性全般化を伴う焦点性脳波放電
HP:0011187	同側半球へ広がる焦点性脳波放電
HP:0011189	両側性多焦点性てんかん型放電
HP:0011184	過呼吸誘発性全般性てんかん性放電を伴う脳波
HP:0011183	過呼吸誘発性焦点性てんかん性放電を伴う脳波
HP:0011186	対側半球へ拡大が制限された焦点性てんかん型放電
HP:0011185	焦点性てんかん放電を伴う脳波
HP:0011180	部分的β脳波
HP:0011182	てんかん型脳波放電
HP:0011181	低圧脳波
HP:0007932	両側性先天性散瞳
HP:0006600	肋軟骨軟骨の進行性石灰化
HP:0006603	不規則な肋骨端のフレア
HP:0007933	幅広い外側眉毛
HP:0007936	拘束性外眼筋麻痺
HP:0007935	若年性後嚢下水晶体混濁
HP:0006607	早発性肋軟骨骨化
HP:0006606	不規則な肋骨軟骨接合部
HP:0007937	蜂の巣網膜変性
HP:0006608	鎖骨中部低形成
HP:0007939	S錐体１色覚
HP:0011199	全般性棘徐波を伴う脳波
HP:0011198	全般性てんかん性放電を伴う脳波
HP:0011195	焦点性棘徐波を伴う脳波
HP:0011194	焦点性棘波シリーズを伴う脳
HP:0011197	焦点性棘波を伴う脳波
HP:0011196	焦点性棘波を伴う脳波
HP:0011191	片側性多焦点性てんかん型放電
HP:0011190	片側性および両側性多焦点性てんかん型放電
HP:0011193	焦点性棘波を伴う脳波
HP:0011192	多形性焦点性てんかん型放電
HP:0007930	目立つ内眼角贅皮
HP:0007901	網膜奇形
HP:0007900	涙管低形成
HP:0007903	色素性傍静脈脈絡膜網膜萎縮
HP:0007902	硝子体出血
HP:0007905	虹彩血管異常
HP:0007906	眼内圧の増加
HP:0011169	全身性間代性発作
HP:0012497	最大呼気圧減少
HP:0011166	焦点性ミオクロニー発作
HP:0011165	視覚的前兆
HP:0012496	最大吸気圧減少
HP:0011168	眼瞼ミオクローヌス
HP:0012499	下行大動脈解離
HP:0012498	臍帯巻絡
HP:0011167	焦点性間代性発作
HP:0012493	中脳動脈狭窄
HP:0011162	精神病前兆
HP:0012492	大脳動脈狭窄
HP:0011161	嗅覚前兆
HP:0012495	後大脳動脈狭窄
HP:0011164	自律神経栄前兆
HP:0012494	前大脳動脈狭窄
HP:0011163	身体感覚性前兆
HP:0011160	味覚前兆
HP:0012491	高密度管状系(dense tubular system)異常
HP:0012490	脂肪織炎
HP:0007910	非進行性先天性網膜ジストロフィー
HP:0007911	先天性両側性眼瞼下垂
HP:0007913	網状網膜ジストロフィー
HP:0007915	多形性後部角膜ジストロフィー
HP:0007917	牽引性網膜剥離
HP:0011177	4-5/秒背景活動を伴う脳波
HP:0011176	体質性バリアントを伴う脳波
HP:0011179	β-脳波
HP:0011178	α-脳波
HP:0011173	運動減少性発作
HP:0011172	複雑型熱性けいれん
HP:0011175	運動性部分てんかん
HP:0011174	多動発作
HP:0011171	単純熱性けいれん
HP:0011170	ミオクローヌス性無緊張性発作
HP:0000493	中心窩の異常
HP:0000494	眼瞼裂斜下
HP:0000491	角膜炎
HP:0000492	眼瞼の異常
HP:0000490	落ちくぼんだ眼
HP:0012479	側頭骨下顎関節捻髪音
HP:0011148	特別な特徴をもつ欠神発作
HP:0011147	典型的欠伸発作
HP:0012478	側頭骨下顎関節強直
HP:0011149	眼瞼ミオクローヌスを伴う欠神発作
HP:0011144	年齢関連性後嚢下白内障
HP:0012475	特異的抗体欠乏症
HP:0012474	頚動脈閉塞
HP:0011143	年齢関連性皮質白内障
HP:0012477	音声振戦
HP:0011146	無意識発作
HP:0012476	特異的肺炎球菌抗体欠乏症
HP:0011145	症候性けいれん
HP:0012471	分厚い唇紅部縁
HP:0011140	胃腸重複
HP:0012470	落陽眼現象
HP:0012473	舌萎縮
HP:0011142	年齢関連性核白内障
HP:0011141	年齢関連性白内障
HP:0012472	口唇外反
HP:0000499	睫毛の異常
HP:0000497	外転による眼球後退と偏位
HP:0000498	眼瞼炎
HP:0000495	反復性角膜びらん
HP:0000496	眼運動の異常
HP:0011159	上腹部前兆
HP:0012489	鞍上くも膜嚢胞
HP:0011158	聴覚前兆
HP:0011155	反応性の変化を伴う焦点性自律神経発作
HP:0012486	脊髄炎
HP:0012485	表面結合性開放管系の異常
HP:0011154	焦点性自律神経発作
HP:0012488	脳室内くも膜嚢胞
HP:0011157	前兆
HP:0012487	小脳橋角くも膜嚢胞
HP:0011156	反応性の変化を伴わない焦点性自律神経発作
HP:0012482	前頭静脈血管腫
HP:0011151	鈍麻状態
HP:0011150	ミオクローヌス性欠伸発作
HP:0012481	大脳静脈血管腫
HP:0011153	焦点性運動発作
HP:0012484	高密度顆粒異常
HP:0011152	早期発症欠伸発作
HP:0012483	α顆粒異常
HP:0012480	大脳静脈の異常
HP:0000471	胃腸血管異形成
HP:0000472	長い頸部
HP:0000470	短い頸部
HP:0011129	両側性胎児性腎盂拡張症
HP:0011126	腎下垂
HP:0012457	中サイズ動脈の中膜石灰化
HP:0012456	動脈中膜石灰化
HP:0011125	真皮メラノソーム異常
HP:0011128	急性食道壊死
HP:0012459	睡眠時頭痛
HP:0012458	小さな動脈の中膜石灰化
HP:0011127	口周囲湿疹
HP:0011122	皮膚生理の異常
HP:0012453	両側性手関節屈曲拘縮
HP:0012452	むずむず下肢
HP:0011121	皮膚形態の異常
HP:0012455	大きな動脈の石灰化
HP:0011124	表皮形態異常
HP:0012454	片側性手関節屈曲拘縮
HP:0011123	皮膚の炎症性異常
HP:0012451	急性便秘
HP:0011120	窪んだ鼻梁
HP:0012450	慢性便秘
HP:0000479	網膜の異常
HP:0000478	眼の異常
HP:0000475	幅広い頸部
HP:0000476	水滑性嚢腫
HP:0000473	斜頚
HP:0000474	分厚い後部皮膚ヒダ
HP:0000482	小角膜
HP:0000483	乱視
HP:0000480	網膜コロボーマ
HP:0000481	角膜の異常
HP:0011137	非掻痒性蕁麻疹
HP:0012468	慢性アシドーシス
HP:0012467	急性呼吸性アシドーシス
HP:0011136	汗腺無形成
HP:0011139	胃重複
HP:0011138	皮膚付属器の異常
HP:0012469	乳児スパスム
HP:0012464	トランスフェリン飽和の減少
HP:0011133	電離放射線への感受性の増加
HP:0011132	慢性癤症
HP:0012463	トランスフェリン飽和上昇
HP:0011135	汗腺無形成/低形成
HP:0012466	慢性呼吸性アシドーシス
HP:0011134	微熱
HP:0012465	肝の鉄濃度上昇
HP:0012460	下小脳虫部形態異常
HP:0011131	肛門周囲発心
HP:0012462	下顎ミオクローヌス
HP:0012461	細菌尿
HP:0011130	腎杯形態異常
HP:0000488	網膜症
HP:0000486	斜視
HP:0000487	先天性斜視
HP:0000484	遠視性乱視
HP:0000485	巨大角膜
HP:0001780	趾に異常
HP:0012439	異常な胆道生理
HP:0011108	反復性副鼻腔炎
HP:0011107	反復性アフタ性口内炎
HP:0012438	異常な胆嚢生理
HP:0011109	慢性副鼻腔炎
HP:0012435	腹側が短い包皮
HP:0011104	血量ホメオスターシスの異常
HP:0011103	左室拍出路の異常
HP:0012434	社会性の発達遅延
HP:0012437	異常な胆嚢形態
HP:0011106	循環血液量減少
HP:0012436	非閉塞性冠動脈疾患
HP:0011105	循環血液量増加
HP:0011100	腸閉鎖
HP:0012431	疲労エピソード
HP:0012430	大脳白質低形成
HP:0012433	異常な社会的行動
HP:0011102	回腸閉鎖
HP:0012432	慢性疲労
HP:0001789	胎児水腫
HP:0000457	落ちくぼんだ鼻梁
HP:0001788	前期破水
HP:0000458	無嗅覚
HP:0000455	幅広い鼻尖
HP:0001787	異常な分娩
HP:0000456	二分した鼻尖
HP:0001786	狭い足
HP:0001785	足関節腫大
HP:0000453	後鼻孔閉鎖
HP:0000454	鼻孔フレア
HP:0000451	三角形の鼻尖
HP:0001783	幅広いmetatarsal
HP:0001782	球状の趾尖
HP:0000452	後鼻孔狭窄
HP:0000460	狭い鼻
HP:0001792	小さい爪
HP:0001791	胎児腹水
HP:0001790	非免疫性胎児水腫
HP:0011119	鼻背の異常
HP:0011118	腫瘍壊死因子分泌の異常
HP:0012449	仙腸関節滑膜炎
HP:0011115	ケモカイン分泌の異常
HP:0012446	髄液 5-methyltetrahydrofolate低値
HP:0011114	NFKB1依存性サイトカイン産生障害
HP:0011117	インターロイキン分泌の異常
HP:0012448	髄鞘形成遅延
HP:0012447	異常な髄鞘形成
HP:0011116	インターフェロン分泌の異常
HP:0011111	免疫血清タンパク生理の異常
HP:0012442	胆嚢ジスキネジア
HP:0012441	Oddi 括約筋ジスキネジア
HP:0011110	扁桃炎
HP:0012444	脳萎縮
HP:0011113	サイトカイン分泌の異常
HP:0012443	脳形態の異常
HP:0011112	血清サイトカイン値の異常
HP:0012440	異常な胆道形態
HP:0000468	頸部周囲の脂肪組織増加
HP:0001799	短い爪
HP:0000466	頸部運動範囲の制限
HP:0001798	無爪症
HP:0000467	頸部筋虚弱
HP:0000464	頸部の異常
HP:0000465	翼状頚
HP:0001795	凸爪
HP:0000463	上向きの鼻孔
HP:0012417	低二酸化炭素症
HP:0012416	高二酸化炭素症
HP:0012419	高酸素血症
HP:0012418	低酸素血症
HP:0012413	乳歯門歯切痕
HP:0012412	副腎皮質性思春期早発
HP:0012415	血液ガス値異常
HP:0012414	十二指腸萎縮
HP:0012411	恥毛早発
HP:0012410	純粋赤血球無形成
HP:0001769	幅広い足
HP:0000437	落ちくぼんだ鼻尖
HP:0000436	鼻尖の異常
HP:0001765	槌趾
HP:0000433	鼻粘膜の異常
HP:0000434	鼻粘膜毛細血管拡張
HP:0001763	扁平足
HP:0000431	幅広い鼻梁
HP:0001762	内反尖足
HP:0001761	凹足
HP:0000430	鼻翼未発達
HP:0001760	足の異常
HP:0001770	合趾症
HP:0012428	踵骨突出
HP:0012427	過度の大腿骨前傾
HP:0012429	大脳白質無形成/低形成
HP:0012424	脈絡膜網膜炎
HP:0012423	結腸慣性
HP:0012426	視神経杯ドルーゼ
HP:0012425	宿便性潰瘍
HP:0012420	胎便で汚染された羊水
HP:0012422	脈絡膜叢絨毛肥大
HP:0012421	先天性包皮欠損
HP:0000448	目立つ鼻
HP:0000446	狭い鼻梁
HP:0000447	洋梨型の鼻
HP:0001776	両側性内反尖足
HP:0000444	凸の鼻梁
HP:0001775	外反足根骨
HP:0000445	幅広い鼻
HP:0001773	短い足
HP:0001772	外反尖足
HP:0001771	アキレス腱拘縮
HP:0000419	鼻中隔の異常
HP:0000417	細い鼻
HP:0000418	狭い鼻梁
HP:0001748	多脾症
HP:0000415	後鼻孔の異常
HP:0001747	副脾
HP:0001746	無脾症
HP:0000413	外耳道閉鎖
HP:0001744	脾腫
HP:0000414	球状の鼻
HP:0000411	耳介聳立
HP:0001743	脾の異常
HP:0001742	鼻閉
HP:0001741	方形
HP:0000410	混合性難聴
HP:0012409	皮質腎石灰化症
HP:0012406	高クエン酸尿
HP:0012405	低クエン酸尿
HP:0012408	髄質腎石灰化症
HP:0012407	はさみ歩行
HP:0012402	尿中αケトグルタル酸濃度増加
HP:0012401	尿中α-ケトグルタル酸濃度異常
HP:0012404	尿中クエン酸濃度異常
HP:0012403	尿中α-ケトグルタル酸濃度減少
HP:0012400	アルドラーゼ値異常
HP:0000429	鼻翼の異常
HP:0000426	目立つ鼻梁
HP:0001757	高音感音難聴
HP:0001756	前庭機能低下
HP:0000422	鼻梁の異常
HP:0000420	短い鼻中隔
HP:0001751	前庭機能障害
HP:0000421	鼻出血
HP:0001750	単心室
HP:0001727	血栓塞栓性卒中
HP:0001726	弁膜症有病率の増加
HP:0001724	大動脈拡張
HP:0001723	拘束性心筋症
HP:0001722	高拍出性うっ血性心不全
HP:0000408	進行性感音難聴
HP:0001739	鼻咽頭の異常
HP:0001738	外分泌性膵不全
HP:0000407	感音難聴
HP:0001737	膵膿瘍
HP:0001735	急性膵炎
HP:0000405	伝音難聴
HP:0000402	外耳道狭窄
HP:0001734	環状膵
HP:0001733	膵炎
HP:0000403	反復性中耳炎
HP:0000400	大耳
HP:0001732	膵の異常
HP:0001730	進行性難聴
HP:0001709	3度房室ブロック
HP:0001708	右室不全
HP:0001707	右室の異常
HP:0001706	心内膜線維弾性症
HP:0001705	右室流出路閉塞
HP:0001704	三尖弁逸脱
HP:0001702	三尖弁の異常
HP:0001701	心外膜炎
HP:0001700	心筋壊死
HP:0001719	両大血管右室起始症
HP:0001718	僧帽弁狭窄
HP:0001717	冠状動脈石灰化
HP:0001716	Wolff-Parkinson-White 症候群
HP:0001714	心室肥大
HP:0001713	心室の異常
HP:0001712	左室肥大
HP:0001711	左室の異常
HP:0001710	円錐動脈幹奇形
HP:0005280	落ちくぼんだ鼻梁
HP:0005281	鼻梁低形成
HP:0005285	鼻梁欠損
HP:0005288	鼻孔の異常
HP:0005289	鼻唇領域の異常
HP:0005290	内頚動脈低形成
HP:0005291	炎症性血管症
HP:0005292	冠状動脈の内膜肥厚
HP:0005293	静脈不全
HP:0005294	動脈解離
HP:0005295	偽大動脈縮窄
HP:0005296	閉塞性血管病
HP:0005297	早発性閉塞性血管病
HP:0005298	右室大動脈と肺動脈弁閉鎖を伴う房室管奇形
HP:0005299	早発性末梢血管病
HP:0006591	肩甲骨関節窩欠損
HP:0006590	早発性胸骨癒合
HP:0006593	肋骨の脊椎骨への異常挿入
HP:0005261	関節出血
HP:0005262	滑膜の異常
HP:0006595	肩甲骨上腕骨癒合
HP:0005263	胃炎
HP:0005264	胆嚢の異常
HP:0005265	空腸の異常
HP:0006597	横隔膜麻痺
HP:0005266	腸ポリープ
HP:0006596	胸郭運動制限
HP:0006599	鎖骨の内方拡大
HP:0005267	子宮頸部不全または膜脆弱性による早産
HP:0006598	前方肋骨端の不規則な骨化
HP:0005268	自然流産
HP:0005272	目立つ鼻唇ヒダ
HP:0005273	鼻中隔軟骨欠損
HP:0005274	目立つ鼻尖
HP:0005275	鼻軟骨の骨化
HP:0005278	鼻尖低形成
HP:0006579	遷延性新生児黄疸
HP:0005247	腹壁筋低形成
HP:0005248	肝内胆管閉鎖
HP:0005249	機能的腸閉塞
HP:0006571	肝内胆管数減少
HP:0005240	食道閉塞
HP:0005241	全腸無神経節症
HP:0006573	急性脂肪肝
HP:0006572	亜急性進行性ウイルス肝炎
HP:0005242	肝外胆管閉鎖
HP:0005243	部分的腹筋無発生
HP:0006575	黄疸エピソードを伴う肝内胆汁うっ滞
HP:0005244	胃腸梗塞
HP:0006574	肝動静脈奇形
HP:0006577	巨大結節性肝硬変
HP:0005245	腸低形成
HP:0005246	巨大肥厚性胃炎
HP:0006576	肝血管奇形
HP:0005258	胸筋低形成/無形成
HP:0005259	肩を対合できる異常な能力
HP:0006589	下部肋骨胸郭のフレア
HP:0006580	門脈線維症
HP:0005250	高位腸閉塞
HP:0006582	Reye 症様エピソード
HP:0006581	肝ミトコンドリアDNA枯渇
HP:0006584	小さな異常形成された肩甲骨
HP:0006583	乳児期の致死性肝不全
HP:0005253	胸郭前後径増加
HP:0005254	片側性胸郭低形成
HP:0005255	小胸筋の異常
HP:0006585	先天性鎖骨偽関節
HP:0005256	片側性大胸筋欠損
HP:0005257	胸郭低形成
HP:0006587	真っ直ぐな鎖骨
HP:0006557	多嚢胞性肝疾患
HP:0005225	腸浮腫
HP:0006559	肝石灰化
HP:0005227	腺腫性結腸ポリープ症
HP:0006558	簡素式でのミトコンドリア複合体 III 活性の減少
HP:0007889	虹色後嚢下白内障
HP:0005229	空回腸潰瘍ation
HP:0007880	角膜辺縁ジストロフィー
HP:0007881	中心角膜ジストロフィー
HP:0005220	多発性腸神経線維腫症
HP:0006552	線維嚢胞性肺疾患
HP:0005222	腸形質
HP:0005223	重複結腸
HP:0007886	外眼筋欠損
HP:0006555	びまん性脂肪肝
HP:0007885	緩徐な水平サッカード
HP:0006554	急性肝不全
HP:0005224	直腸膿瘍
HP:0007899	網膜非接着
HP:0006568	肝グリコーゲン量増加
HP:0005236	慢性石灰化性膵炎
HP:0007898	滲出性網膜症
HP:0005237	変性肝疾患
HP:0031501	骨盤腔内腫瘤
HP:0005238	個々の腸ポリープ
HP:0031500	腹部腫瘤
HP:0006560	胆管過形成
HP:0007893	進行性網膜 変性
HP:0005230	胆管閉塞
HP:0006562	ウイルス性肝炎
HP:0007892	涙点低形成
HP:0006561	肝細胞の脂質蓄積
HP:0005231	慢性胃炎
HP:0005232	膵異形成
HP:0006564	変動性肝腫
HP:0006563	肝管板奇形
HP:0005233	胆嚢低形成
HP:0007894	眼底低色素
HP:0005234	新生児腸閉塞
HP:0006566	新生児胆汁うっ滞性肝疾患
HP:0005235	空腸閉鎖
HP:0006565	肝細胞脂質滴増加
HP:0007866	巣状網膜梗塞
HP:0005203	自然食道穿孔
HP:0006535	反復性肺内出血
HP:0007868	年齢関連性黄斑変性
HP:0006536	閉塞性肺疾患
HP:0007867	拘束性部分外眼筋麻痺
HP:0005206	膵偽嚢胞
HP:0005207	胃肥大
HP:0006539	気管支軟骨低形成
HP:0006538	反復性気管支肺感染症
HP:0005208	分泌性下痢
HP:0007869	末梢網膜症
HP:0005209	肝内胆管膿瘍
HP:0006531	胸膜リンパ管拡張
HP:0007862	網膜石灰化
HP:0005200	後腹膜線維症
HP:0006530	間質性肺疾患
HP:0005201	脾門脈静脈系奇形
HP:0006533	気管支異形成
HP:0005202	Helicobacter pylori (ヘリコバクター/ピロリ) 感染症
HP:0006532	反復性肺炎
HP:0005214	腸閉塞
HP:0005215	頻回のランブル鞭毛虫感染症
HP:0007876	若年性皮質白内障
HP:0006548	肺動静脈奇形
HP:0005216	咀嚼こんな
HP:0007879	アレルギー性結膜炎
HP:0005217	内臓重複
HP:0005218	肛門会陰部瘻
HP:0006549	片側性原発性肺異発生
HP:0005219	内因子の異常
HP:0007873	目立つ Schwalbe 線
HP:0005210	結腸低形成
HP:0006541	出生時からの慢性閉塞性気道疾患
HP:0005211	中腸回転異常
HP:0007872	脈絡膜血管腫症
HP:0007875	先天性盲
HP:0006544	肺外肺分画症
HP:0005212	肛門粘膜ロイコプラキア
HP:0005213	 石灰化
HP:0006543	心肺停止
HP:0007874	アーモンド型眼瞼裂
HP:0007843	網膜血管減弱
HP:0006515	間質性肺臓炎
HP:0006514	肺胞内結節性石灰化
HP:0006517	肺胞タンパク沈着症
HP:0006516	過敏性肺臓炎
HP:0006519	肺胞細胞癌
HP:0006518	肺静脈閉塞性疾患
HP:0007840	長い上睫毛
HP:0006511	喉頭喘鳴
HP:0007841	水晶体液のアミロイド沈着
HP:0006510	慢性閉塞性肺疾患
HP:0006524	気管気管支横紋筋腫症
HP:0007854	緑内障性視野狭窄
HP:0006525	肺分画異常
HP:0007856	角膜点状混濁
HP:0007859	先天性水平性眼振
HP:0006528	慢性肺疾患
HP:0007858	脈絡膜網膜裂孔
HP:0006527	リンパ性間質性肺炎
HP:0006529	肺リンパ系の異常
HP:0006520	進行性肺機能障害
HP:0007851	黄斑の側頭側偏位
HP:0007850	網膜血管増殖
HP:0006522	反復性気胸
HP:0007852	傍中心色素性網膜症
HP:0006521	肺リンパ管拡張
HP:0007822	中心滲出液
HP:0007824	全眼筋麻痺
HP:0007827	結節性角膜ジストロフィー
HP:0007829	びまん性網膜錐体変性
HP:0011089	二重歯
HP:0011088	歯内歯
HP:0011085	未熟な歯エナメル質
HP:0011084	歯エナメル質低石灰化
HP:0011087	距錐咬頭
HP:0011086	乳歯と永久歯の象牙質形成不全
HP:0011081	切歯巨大歯
HP:0011080	小臼歯形態の異常
HP:0011083	円錐型上顎切歯
HP:0011082	円錐型乳歯切歯
HP:0007820	涙点閉鎖
HP:0006502	手根骨無形成/低形成
HP:0007833	前房癒着
HP:0007832	強膜色素沈着
HP:0006501	橈骨無形成/低形成
HP:0007835	S字型眼瞼裂
HP:0006504	四肢骨幹奇形
HP:0007834	進行性白内障
HP:0006503	前腕骨無形成/低形成
HP:0007836	モザイク型角膜ジストロフィー
HP:0006505	四肢骨端の異常
HP:0006508	脛骨骨端の異常
HP:0006507	上腕骨無形成/低形成
HP:0007838	進行性眼瞼下垂
HP:0006509	気管憩室症
HP:0011099	痙性片麻痺
HP:0011096	末梢神経脱髄
HP:0011095	オーバージェット
HP:0011098	発語失行症
HP:0011097	てんかん性スパスム
HP:0011092	桑の実臼歯
HP:0011091	二重化
HP:0011094	オーバーバイト
HP:0011093	小臼歯の大臼歯化
HP:0011090	歯癒合
HP:0006500	下肢骨端の異常
HP:0007831	非進行性拘束性外眼筋麻痺
HP:0007830	成人発症夜盲症
HP:0007800	軸性眼球長増加
HP:0007802	顆粒性角膜ジストロフィー
HP:0007801	魚網型網膜色素
HP:0007803	1色覚
HP:0007808	両側性網膜コロボーマ
HP:0007807	視神経神経圧迫
HP:0007809	点状角膜ジストロフィー
HP:0012398	末梢性浮腫
HP:0011067	正中歯
HP:0012397	大動脈動脈硬化症
HP:0011069	歯数増加
HP:0012399	圧潰瘍
HP:0011068	歯牙腫
HP:0011063	切歯形態の異常
HP:0012394	ヨード造影剤アレルギー
HP:0011062	切歯不正配列
HP:0012393	アレルギー
HP:0012396	胆管ジスキネジア
HP:0011065	円錐型切歯
HP:0012395	季節性アレルギー
HP:0011064	異常な切歯数
HP:0012390	肛門裂
HP:0012392	下顎反射低下
HP:0011061	歯構造異常
HP:0012391	上肢反射低下
HP:0011060	乳歯に限定された象牙質形成不全
HP:0007811	水平性振り子型眼振
HP:0007810	進行性二巣性脈絡膜網膜萎縮
HP:0007813	非肉芽腫性ブドウ膜炎
HP:0007812	ヘルペス型角膜潰瘍
HP:0007815	網膜小動脈および小静脈分布の異常
HP:0007814	塩胡椒網膜症
HP:0007817	水平性核上注視 麻痺
HP:0007819	初老性白内障
HP:0007818	中心異色症
HP:0011078	犬歯異常
