OMIM:616033	小頭-低身長-ブドウ糖代謝異常
OMIM:105835	天使型指趾骨端異形成 (ASPED)
OMIM:106050	蛇行性血管腫, 常染色体優性
OMIM:106070	血管腫, 遺伝性神経皮膚
OMIM:106100	血管性浮腫, 遺伝性, I 型
OMIM:106190	無汗症, 家族性全身性-正常汗腺
OMIM:106220	無虹彩症-膝蓋骨欠損
OMIM:106230	無虹彩症- 小角膜-自然再吸収性白内障
OMIM:106240	瞳孔不同
OMIM:106250	先天性糸状眼瞼癒着-口蓋裂
OMIM:106260	眼瞼癒着-外胚葉異常-口唇口蓋裂
OMIM:106280	舌小帯短縮症
OMIM:106300	脊椎関節症への感受性1
OMIM:106400	強直性脊椎骨化過剰症-胼胝
OMIM:106500	輪状紅斑
OMIM:106600	歯無発生, 選択的, 1 (STHAG1)
OMIM:106700	全肺静脈還流異常 (TAPVR)
OMIM:106750	無爪症-屈曲側色素沈着
OMIM:106900	無爪症-欠指症
OMIM:106990	無爪症-爪ジストロフィー-B型短指症-欠指症
OMIM:106995	無爪症-爪ジストロフィー-末節骨低形成／欠損
OMIM:107000	爪疾患, 非症候群性先天性6
OMIM:107100	肛門直腸奇形
OMIM:107200	無嗅覚症, 単独先天性
OMIM:107250	眼前区異発生1
OMIM:107290	
OMIM:107320	抗リン脂質症候群, 家族性
OMIM:107440	
OMIM:107500	大動脈弓奇形-特異顔貌-精神遅滞
OMIM:107550	大動脈離断-顔面麻痺-網膜コロボーマ
OMIM:107600	先天性皮膚無形成 (ACC)
OMIM:107650	無呼吸, 閉塞性睡眠時
OMIM:107700	
OMIM:107750	
OMIM:107800	角膜環
OMIM:107900	上肢奇形 (Stiles-Dougan)
OMIM:107970	催不整脈性右室異形成, 家族性 1 (ARVD1)
OMIM:108000	動脈奇形
OMIM:108010	脳動静脈奇形
OMIM:108050	屈指症-関節炎
OMIM:108100	関節炎, 仙腸関節
OMIM:108120	関節拘縮症, 先天性多発性, 遠位, 1 A型
OMIM:108145	関節拘縮症, 遠位5型
OMIM:108200	遠位関節拘縮症 6 型
OMIM:108300	Stickler 症候群 I 型 (STL1)
OMIM:108420	精子形成不全2
OMIM:108450	非対称性低身長症候群
OMIM:108500	運動失調, 周期性前庭小脳性
OMIM:108600	痙性運動失調, 1, 常染色体優性
OMIM:108650	痙性運動失調7, 常染色体優性
OMIM:108700	運動失調-線維束攣縮
OMIM:108720	アテロオステオジェネシス 1 型 (AO I)
OMIM:108721	成長不全性骨形成症 III 型 (AO III)
OMIM:108725	アテローム性動脈硬化感受性
OMIM:108760	外耳道閉鎖-伝音性難聴
OMIM:108770	心房性心停止1
OMIM:108800	心房中隔欠損 1 (ASD)
OMIM:108900	心房中隔欠損症-房室伝導障害
OMIM:108950	心房性多不整脈-PR 間隔短縮
OMIM:108980	
OMIM:108985	Sveinsson 脈絡膜網膜萎縮
OMIM:109000	耳介-骨異形成
OMIM:109050	耳介頭蓋合指症
OMIM:109100	自己免疫疾患
OMIM:109120	Axenfeld-Rieger 奇形-部分的眼筋欠損-特異顔貌-水頭症-骨格異常
OMIM:109130	軸性骨軟化症
OMIM:109150	Machado-Joseph 病 (MJD)
OMIM:109160	高窒素血症, 家族性
OMIM:109200	
OMIM:109300	Banki 症候群
OMIM:109350	胃食道逆流
OMIM:109400	基底細胞母斑症候群 (BCNS)
OMIM:109500	頭蓋底陥入症, 原発性
OMIM:109540	
OMIM:109543	
OMIM:109650	ベーチェット症候群
OMIM:109660	
OMIM:109720	胆汁性肝硬変, 原発性, 1
OMIM:109740	二分鼻
OMIM:109820	膀胱憩室
OMIM:109900	眼瞼弛緩症-二重上口唇
OMIM:110000	眼瞼弛緩症, 上
OMIM:110050	眼瞼-鼻-顔面奇形症候群
OMIM:110100	瞼裂狭小-眼瞼下垂-逆内眼角贅皮
OMIM:110150	眼瞼下垂-近視-異所性水晶体
OMIM:112200	青色ゴムまり様母斑症候群
OMIM:112240	Cole-Carpenter 症候群1
OMIM:112250	骨幹髄腔狭窄-悪性組織球腫 (DMSMFH)
OMIM:112270	
OMIM:112300	Book  症候群
OMIM:112310	ブーメラン型異形成
OMIM:112350	Weismann-Netter 症候群
OMIM:112370	Brachmann-de Lange-様顔貌-小頭症-内転中足骨-発達遅滞
OMIM:112410	高血圧-短指症 (HTNB)
OMIM:112430	長母指型短指症候群
OMIM:112440	短指症, B/E 混合型
OMIM:112450	軸前性短指症-内反母趾-外転母指
OMIM:112600	短指症, A2型 (BSA2)
OMIM:112700	短指症, A3型
OMIM:112800	短指症, A4型
OMIM:112910	Osebold-Remondini 症候群
OMIM:113000	短指症, B1型 (BDB1)
OMIM:113100	短指症, C 型
OMIM:113200	短指症, D 型 (BDD)
OMIM:113300	短指症, E1 型
OMIM:113301	E 型短指症- II 型心房中隔欠損
OMIM:113310	短指症-欠指症-腓骨無形成または低形成
OMIM:113400	短指症-眼振-小脳性運動失調
OMIM:113450	短指症-末節骨癒合症症候群
OMIM:113470	四肢中部短縮-腎症候群
OMIM:113475	中足骨短縮 IV
OMIM:113477	低身長-爪異形成-指趾骨異常症候群
OMIM:113480	末節骨短縮-特異顔貌-Kallmann 症候群
OMIM:113500	ブラキオルミア3型
OMIM:113600	鰓裂奇形
OMIM:113610	上腕ミオクローヌス-痙性対不全麻痺-小脳性運動失調
OMIM:113620	鰓弓-眼-顔症候群
OMIM:113650	鰓耳腎異形成
OMIM:113670	乳房肥大, 若年性
OMIM:113700	乳房+/-乳頭, 無形成または低形成, 1
OMIM:113800	表皮剥離性角質増殖症
OMIM:113900	進行性家族性心ブロック I 型(PFHBI)
OMIM:113950	脚ブロック, 家族性単独完全右脚
OMIM:113960	
OMIM:113970	
OMIM:114000	Caffey 病
OMIM:114030	カフェオーレ斑, 多発性
OMIM:114065	大動脈石灰化疾患-免疫異常, 家族性
OMIM:114100	基底核石灰化 +/- 低カルシウム血症
OMIM:114140	胼胝, 遺伝性有痛性
OMIM:114150	屈短指症
OMIM:114200	屈指症 1
OMIM:114290	湾曲肢異形成(CMD1; CMPD1)
OMIM:114300	関節拘縮症, 遠位, 3型
OMIM:114450	
OMIM:114550	
OMIM:114580	カンジダ症, 家族性, 1
OMIM:114600	犬歯欠損, 上顎永久歯
OMIM:114620	頭蓋顔心骨格異形成
OMIM:114650	Car 因子欠損症
OMIM:114700	Carabelli 奇形, 上顎大臼歯の
OMIM:115000	不整脈
OMIM:115080	心伝導障害
OMIM:115150	心顔皮膚症候群1
OMIM:115195	心筋症, 家族性肥大型, 2 (CMH2)
OMIM:115196	心筋症, 家族性肥大型, 3 (CMH3)
OMIM:115197	心筋症, 家族性肥大型, 4 (CMH4)
OMIM:115200	心筋症, 家族性拡張型, 1A (CMD1A)
OMIM:115210	心筋症, 家族性拘束型, 1
OMIM:115250	心筋症-性腺機能低下-コラゲノーマ症候群
OMIM:115300	高カロチン血症およびビタミンA欠乏症, 常染色体優性
OMIM:115310	
OMIM:115400	手根骨位置異常
OMIM:115470	
OMIM:115645	白内障-異所性口腔小帯-成長遅延
OMIM:115650	白内障32, 多形性
OMIM:115660	白内障7
OMIM:115665	白内障8, 多型性
OMIM:115700	白内障4, 多型性
OMIM:115800	白内障29
OMIM:115900	白内障42
OMIM:116100	白内障20, 多形型
OMIM:116200	白内障 1, 多型性
OMIM:116300	白内障 30, 多型性
OMIM:116400	白内障41
OMIM:116600	白内障6, 多形性
OMIM:116700	白内障13, 成人i 表現型を伴う
OMIM:116800	白内障5, 多型性)
OMIM:116870	腹腔動脈狭窄, 横隔膜正中弓状靭帯による圧迫
OMIM:116920	白血球粘着欠乏症, I 型 (LAD; LAD1)
OMIM:117000	セントラルコア病,筋 (CCD; CCO)
OMIM:117100	中心病性てんかん
OMIM:117210	脊髄小脳失調症31
OMIM:117300	認知症, 家族性デンマーク人 (FDD)
OMIM:117360	脊髄小脳性失調29
OMIM:117550	Sotos 症候群1
OMIM:117600	
OMIM:117650	大脳肋骨下顎症候群
OMIM:117850	頚部多毛-多毛下部の後側弯
OMIM:117900	頚肋
OMIM:118000	頚椎橋
OMIM:118005	頚椎異形成
OMIM:118100	Klippel-Feil 症候群, 常染色体優性
OMIM:118200	Charcot-Marie-Tooth 病, 脱髄性, 1B 型 (CMT1)
OMIM:118210	Charcot-Marie-Tooth 病, 軸索性, 2A型 (CMT2A)
OMIM:118220	Charcot-Marie-Tooth 病, 脱髄性, 1A 型
OMIM:118230	Charcot-Marie-Tooth 病, Guadalojara ニューロン型
OMIM:118300	Charcot-Marie-Tooth 病-難聴
OMIM:118301	Charcot-Marie-Tooth 病-眼瞼下垂-パーキンソン病
OMIM:118330	腺性口唇炎
OMIM:118350	
OMIM:118400	ケルビズム
OMIM:118420	Chiari 奇形 I 型 (CM1)
OMIM:118430	
OMIM:118600	軟骨石灰化症 2 (CCAL2)
OMIM:118610	軟骨石灰化症, 乱ﾎ灰結晶沈着による
OMIM:118650	点状軟骨異形成, 常染色体優性
OMIM:118651	点状軟骨異形成, 脛骨-中手骨型
OMIM:118670	
OMIM:118750	舞踏病性アテトーゼ, 家族性逆
OMIM:118800	発作性 nonkinesigenic ジスキネジア (PNKD)
OMIM:118830	キロミクロン血症, 家族性, リポ蛋白リパーゼの循環性抑制因子による
OMIM:118865	
OMIM:215600	肝硬変, 家族性
OMIM:118980	鎖骨偽関節, 先天性
OMIM:119000	頤裂
OMIM:119100	裂手/裂足奇形-長管骨欠損 1 (SHFLD1)
OMIM:119300	van der Woude 症候群 (VWS)
OMIM:119500	膝窩翼状片症候群 (PPS)
OMIM:119530	口腔顔面裂 1 (OFC1)
OMIM:119540	口蓋裂, 単独 (CPI)
OMIM:119550	顎癒合症
OMIM:119570	軟口蓋裂
OMIM:119600	鎖骨頭蓋骨異形成
OMIM:119650	鎖骨四肢近位部短縮症候群
OMIM:119800	内反足, 先天性 +/- 長管骨欠損 +/- 鏡像性多指
OMIM:119900	ばち指趾, 単独性先天性
OMIM:119915	群発頭痛, 家族性
OMIM:120000	大動脈縮窄
OMIM:120040	内耳蝸牛形成嚢変性-進行性白内障
OMIM:120050	
OMIM:120080	
OMIM:120100	家族性寒冷自己炎症症候群1
OMIM:120200	コロボーマ, 眼, 常染色体優性
OMIM:120300	黄斑コロボーマ
OMIM:120330	乳頭腎症候群
OMIM:120400	黄斑コロボーマ-B型短指症
OMIM:120430	コロボーマ, 視神経
OMIM:120433	コロボーマ, 眼 +/- 難聴-口唇口蓋裂 +/- 精神遅滞
OMIM:120435	(Lynch 症候群 I
OMIM:120440	大腸静脈瘤,  門脈圧亢進なし
OMIM:120450	面皰, 家族性異角化性
OMIM:120500	口唇交連小孔
OMIM:120502	鰓耳症候群2
OMIM:120790	
OMIM:120970	錐体桿体ジストロフィー 2 (CORD2)
OMIM:121050	遠位関節拘縮症 9 型
OMIM:121070	指および下顎拘縮
OMIM:121200	けいれん, 良性家族性新生児, 1
OMIM:121201	けいれん, 良性家族性新生児, 2 型
OMIM:121210	熱性けいれん
OMIM:121270	銅欠乏症, 家族性良性
OMIM:121300	コプロポルフィリン症 , 遺伝性
OMIM:121350	烏口鎖骨関節奇形
OMIM:121390	滴状角膜- 前極白内障
OMIM:121400	扁平角膜 1, 常染色体優性
OMIM:121450	角膜変性, リボン様-難聴
OMIM:121800	Schnyder 先天性角膜ジストロフィー
OMIM:121820	角膜ジストロフィー, 上皮基底膜
OMIM:121850	角膜斑点状ジストロフィー (CFD)
OMIM:121900	Groenouw I 型角膜ジストロフィー (CDGG1)
OMIM:122000	角膜ジストロフィー, 後部多形性, 1  (PPCD1)
OMIM:122100	角膜ジストロフィー, Meesmann
OMIM:122200	角膜ジストロフィー, 格子状 I (CDL1)
OMIM:122400	表皮反復性びらんジストロフィー
OMIM:122430	角膜感覚過敏-網膜異常-感音性難聴-顔貌異常-PDA-精神遅滞
OMIM:122440	角膜-皮膚-骨症候群
OMIM:122450	角膜感覚過敏, 家族性
OMIM:122455	冠動脈離断, 自然
OMIM:122460	
OMIM:122470	Cornelia de Lange 症候群1 (CDL1)
OMIM:122580	肋骨烏口靭帯短縮, 先天性
OMIM:122600	脊椎肋骨異骨症4, 常染色体優性
OMIM:122700	クマリン抵抗性
OMIM:122750	内反股
OMIM:122780	股耳症候群
OMIM:122850	心先端顔症候群
OMIM:122880	頭蓋顔面-難聴-手症候群 (CDHS)
OMIM:122900	頭蓋顔面異骨症-骨幹過形成
OMIM:123000	頭蓋骨骨幹端異形成, 常染色体優性 (CMDD; CMD)
OMIM:123050	クラニオリニー
OMIM:123100	頭蓋骨早期癒合症1
OMIM:123150	Jackson-Weiss 症候群 (JWS)
OMIM:123155	水頭症, 常染色体優性
OMIM:123320	クレアチニン・ホスホキナーゼ, 血清高値
OMIM:123400	Creutzfeldt-Jakob 病 (CJD)
OMIM:123450	猫泣症候群
OMIM:123500	Crouzon 症候群
OMIM:123540	クリオフィブリノーゲン血症, 家族性原発性
OMIM:123550	クリオグロブリン血症, 家族性, 混合性
OMIM:123557	埋没耳介, 家族性
OMIM:123560	埋没小耳介-短指症候群
OMIM:123570	埋没眼球, 片側性または両側性単独性
OMIM:123700	皮膚弛緩症, 常染色体優性 1
OMIM:123790	Beare-Stevenson 脳回状皮膚症候群
OMIM:123853	いとすぎ顔面神経筋骨格症候群
OMIM:123880	骨嚢胞性血管腫, 瀰漫性
OMIM:124000	ミトコンドリア複合体 III 欠損症, 核型1
OMIM:124100	ドナウ地方家族性腎症 (DEFN)
OMIM:124200	Darier-White 病 (DAR)
OMIM:124400	ダーウィン耳介結節
OMIM:124480	難聴, 先天性-爪ジストロフィー, 常染色体優性
OMIM:124490	難聴, 伝音性あぶみ骨性-耳介奇形-顔面神経麻痺
OMIM:124500	難聴, 先天性-角化性強皮症-指趾絞扼
OMIM:124700	難聴, 中音感音性
OMIM:124900	難聴, 常染色体優性1
OMIM:124950	難聴, 感音性-末梢性ニューロパチー-動脈疾患
OMIM:125000	難聴、片側性
OMIM:125050	難聴-無汗型外胚葉異形成
OMIM:125230	難聴-頭蓋顔面症候群
OMIM:125250	視神経萎縮 +/- 難聴, 眼筋麻痺, ミオパチー, 運動失調, ニューロパチー
OMIM:125280	外反歯
OMIM:125300	歯内歯と口蓋陥入
OMIM:125320	認知症/パーキンソン病-非アルツハイマー性アミロイド曲面
OMIM:125350	歯萠出不全, 原発性
OMIM:125370	歯状核赤核淡蒼球ルイ核萎縮 (DRPLA)
OMIM:125400	象牙質異形成 I 型
OMIM:125420	象牙質異形成 II 型 (DTDP2)
OMIM:125440	象牙質異形成-骨硬化症
OMIM:125460	デオキシリボース5-リン酸アルドラーゼ欠損症
OMIM:125480	主情動性疾患 1 (MAFD1)
OMIM:125490	象牙質形成不全 (DGI1)
OMIM:125500	象牙質形成不全 Schild III 型
OMIM:125520	Cayler 心顔症候群
OMIM:125540	皮膚隆線, パターン欠損
OMIM:125595	網状色素沈着皮膚症 (DPR)
OMIM:125600	黒色丘疹性皮膚症
OMIM:125630	振動蕁麻疹
OMIM:125635	皮膚画描症, 家族性
OMIM:125640	皮膚歯異形成
OMIM:125700	尿崩症, 神経視床下部型
OMIM:125800	尿崩症, 腎型, 常染色体優性
OMIM:125850	成人型糖尿病, 若年発症, I 型 (MODY1)
OMIM:125851	成人型糖尿病, 若年発症, II 型 (MODY2)
OMIM:125852	糖尿病, インスリン依存性, 2
OMIM:125853	糖尿病, 非インスリン依存性
OMIM:125890	下痢, ブドウ糖刺激性分泌性-分類不能型免疫不全症
OMIM:125900	正中離開
OMIM:126050	指骨距骨形態異常
OMIM:126070	色素希釈
OMIM:126180	二点識別障害
OMIM:126190	不均衡型低身長-眼瞼下垂-心臓弁膜症
OMIM:126250	遠位骨硬化症
OMIM:126300	睫毛重生
OMIM:126320	二列睫毛-先天性心および末梢血管奇形
OMIM:126370	
OMIM:126390	
OMIM:126410	
OMIM:126500	二重爪 (第5 趾)
OMIM:126550	ドーナッツ病変, 頭蓋骨, 家族性
OMIM:126600	Doyne 蜂巣状網膜ジストロフィー (DHRD)
OMIM:126700	基底層ドルーゼ
OMIM:126840	十二指腸潰瘍, 前庭G細胞機能亢進による
OMIM:126850	十二指腸潰瘍, 高ペプシノーゲン血症 I 型
OMIM:126900	Dupuytren 拘縮
OMIM:126950	小人症-高い脊椎骨
OMIM:127000	Kenny-Caffey 症候群 2 型 (KCS2)
OMIM:127100	小人症, Levi 型
OMIM:127200	小人症-関節拘縮-眼異常
OMIM:127300	Leri-Weill 異軟骨骨症 (LWD)
OMIM:127350	異軟骨骨症-腎炎
OMIM:127400	遺伝性対称性異色症
OMIM:127550	先天性角化異常症, 常染色体優性, 1
OMIM:127600	角化異常症, 遺伝性良性上皮内 (DKBI)
OMIM:127700	失読症, 感受性1 (DYX1)
OMIM:127750	認知症, レビ小体性
OMIM:127800	半身性骨端異形成
OMIM:127820	半身性骨端異形成-軟骨腫および骨軟骨腫
OMIM:128000	異末節骨
OMIM:128100	捻転ジストニア-1, 常染色体優性型
OMIM:128101	変形性筋緊張異常 4 (DYT4)
OMIM:128200	発作性運動誘発性ジスキネジア1
OMIM:128230	ジストニア, 進行性, 昼間の変動を伴う
OMIM:128235	ジストニア12
OMIM:128290	対耳珠基部の肉柱
OMIM:128300	耳外骨症
OMIM:128500	折り畳み耳介
OMIM:128600	袋耳
OMIM:128700	耳介瘻, 先天性
OMIM:128710	耳介小孔, 耳介後方の
OMIM:128800	耳輪欠損
OMIM:128980	耳朶, 分厚い-砧骨鐙骨異常による伝音性難聴
OMIM:129000	イアリング孔, 自然
OMIM:129150	
OMIM:129200	Basan 症候群
OMIM:129400	Rapp-Hodgkin 症候群
OMIM:129490	外胚葉形成不全10A, 低汗型/毛髪/爪, 常染色体優性
OMIM:129500	Clouston 症候群群
OMIM:129510	外胚葉形成不全, 毛髪歯爪型
OMIM:129540	外胚葉形成不全症候群-特異顔貌-軸前性多趾症
OMIM:129550	外胚葉形成不全-副腎嚢胞
OMIM:129600	異所性水晶体1, 単独, 常染色体優性
OMIM:129750	異所性瞳孔
OMIM:129810	欠指-口唇口蓋裂を伴わない外胚葉形成不全
OMIM:129830	欠指-口蓋裂症候群
OMIM:129840	浮腫, 家族性本態性, 前思春期
OMIM:129850	エジンバラ奇形症候群
OMIM:129900	欠指-外胚葉形成不全-口唇口蓋裂症候群1 (EEC1)
OMIM:129905	
OMIM:130000	Ehlers-Danlos 症候群, 古典型
OMIM:130020	Ehlers-Danlos 症候群, 関節過動型
OMIM:130050	Ehlers-Danlos 症候群, 血管型
OMIM:130060	Ehlers-Danlos 症候群, 関節弛緩型, 1
OMIM:130090	Ehlers-Danlos 症候群, 常優, 非特異型
OMIM:130100	蛇行性穿孔性弾性線維症
OMIM:130200	脳波異常：14および6 /秒の棘波現象
OMIM:130300	脳波異常：後頭部のα波にかわる遅いβ波群
OMIM:130400	脳波異常：後頭部のα波のかわりに遅いβ波
OMIM:130600	楕円赤血球症2
OMIM:130650	Beckwith-Wiedemann 症候群 (BWS)
OMIM:130700	肺気腫, 遺伝性
OMIM:130710	肺気腫, 先天性大葉性 (CLE)
OMIM:130720	外側髄膜瘤症候群
OMIM:130900	エナメル質形成不全, 3A型
OMIM:130950	脳症, 反復性, 小児
OMIM:131100	多発性内分泌腫症 I 型
OMIM:131200	子宮内膜症
OMIM:131300	Camurati-Engelmann 病 (CED)
OMIM:131375	
OMIM:131400	好酸球増多症, 家族性
OMIM:131430	好酸球減少
OMIM:131440	好酸球悪性増殖 (MPE; EMP)
OMIM:131600	
OMIM:131705	新生児一過性水泡性皮膚融解症
OMIM:131750	栄養障害型表皮水泡症, Pasini 型
OMIM:131760	ヘルペス型表皮水泡症, Dowling-Meara 型
OMIM:131800	単純型表皮水泡症, 限局性
OMIM:131850	表皮水泡症, 栄養障害型, 前脛骨性
OMIM:131880	表皮水泡症-galactosylhydroxylysyl glucosyltransferase 欠損
OMIM:131900	単純型表皮水泡症, 全身性
OMIM:131950	単純型表皮水泡症, Ogna 型
OMIM:131960	単純型表皮水泡症-斑状色素沈着
OMIM:132000	単純型表皮水泡症-先天性部分皮膚欠損-爪変形
OMIM:132090	てんかん, 良性後頭 (BOE)
OMIM:132100	光線発作反応 1
OMIM:132300	てんかん, 読書
OMIM:132400	骨端異形成, 多発性, 1 (MED1)
OMIM:132450	骨端異形成, 多発性-近視-伝音性難聴
OMIM:132500	鼻出血, 遺伝性
OMIM:132600	石灰化上皮腫
OMIM:132700	円柱腫, 家族性
OMIM:132800	
OMIM:132850	
OMIM:132900	Erdheim 嚢胞性大動脈中膜壊死
OMIM:132990	結節性紅斑, 家族性
OMIM:133000	掌蹠紅斑
OMIM:133020	肢端紅痛症, 原発性
OMIM:133100	赤血球増多症, 家族性, 1
OMIM:133180	
OMIM:133190	脊髄小脳失調症 34
OMIM:133239	
OMIM:133240	食道輪, 下部
OMIM:133260	
OMIM:133270	
OMIM:133300	
OMIM:133500	外軟骨症、耳介後方
OMIM:133600	外骨症,  踵の
OMIM:133690	外骨症-皮膚斑状萎縮-E 型短指症
OMIM:133700	外骨症, 多発性, I 型 (EXT1) (EXT)
OMIM:133701	外骨症, 多発性, II 型 (EXT2)
OMIM:133705	外耳道, 両側性閉鎖-先天性垂直距骨
OMIM:133750	心室性期外収縮, 多形性-低身長-色素沈着-小頭
OMIM:133780	滲出性硝子体網膜症 1)
OMIM:133900	片顔過形成
OMIM:134000	顔面多毛
OMIM:134200	顔面神経麻痺, 家族性反復性末梢性
OMIM:134300	顔面神経攣縮
OMIM:134400	第V因子過剰-自然血栓症
OMIM:134430	第VII因子および第VIII因子, 混合性欠損症
OMIM:134510	第VIII因子および第IX因子混合性欠損症
OMIM:134520	第VIII因子および第IX因子, 第XI因子混合性欠損症 (FMFD V)
OMIM:134540	第IX因子および第XI因子混合性欠損症
OMIM:134610	家族性地中海熱, 常染色体優性
OMIM:134750	Felty 症候群
OMIM:134780	大腿骨-顔面症候群 (FFS)
OMIM:134900	フィブリン溶解障害
OMIM:135100	進行性骨化性線維異形成 (FOP)
OMIM:135150	
OMIM:135290	デスモイド病 ,遺伝性
OMIM:135300	線維腫症, 歯肉, 1
OMIM:135400	多毛症, 先天性, 全身性 +/- 歯肉過形成)
OMIM:135550	歯肉線維腫症-進行性難聴
OMIM:135580	線維筋異形成,
OMIM:135750	Laurin-Sandrow 症候群 (LSS)
OMIM:135800	腓骨骨頭の反復性脱臼
OMIM:135900	Coffin-Siris 症候群 1)
OMIM:135950	指ロック, 反復性-胎内発育不全-均衡型低身長
OMIM:136000	無皮膚紋理症
OMIM:136120	魚眼病 (FED)
OMIM:136140	Floating-Harbor 症候群
OMIM:136150	Flood 因子欠損症
OMIM:136200	
OMIM:136300	Flynn-Aird 症候群
OMIM:136400	部分的上皮過形成, 口腔粘膜
OMIM:136480	第4脳神経麻痺, 家族性先天性
OMIM:136500	限局性顔皮膚異形成1, Brauer 型)
OMIM:136520	中心窩低形成1
OMIM:136540	染色体脆弱部位 10q23
OMIM:136550	黄斑ジストロフィー, 網膜, 1, ノースカロライナ型 (MCDR1)
OMIM:136570	16p12.1 欠失症候群, 520 kB
OMIM:136580	染色体脆弱部位, distamycin A 型, まれ, Fra(16)(q22.1)
OMIM:136600	Friedreich 運動失調, いわゆる-視神経萎縮-感音性難聴
OMIM:136630	精神遅滞, 脆弱部位12q13型
